"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","SCHOOL_CODE_CHANGE_IND","Cluster","WEBSITE","PHONE_NUMBER","STREET","CITY","STATE","ZIP_CODE","TOTAL_ENROLL","GRADES","SSAS","SINGLESCORE","PCT_ASIAN","PCT_NATIVE","PCT_BLACK","PCT_HISPANIC","PCT_MULTI","PCT_WHITE","PCT_ED","PCT_SWD","PCT_LEP","CONTENT_MASTERYE","PROGRESSE","CLOSING_GAPE","READINESSE","CCRPISCOREE","THIRD_GRADE_READING","FIFTH_GRADE_READING","CONTENT_MASTERYM","PROGRESSM","CLOSING_GAPM","READINESSM","CCRPISCOREM","EIGHTH_GRADE_READING","CONTENT_MASTERYH","PROGRESSH","CLOSING_GAPH","READINESSH","GRADUATION_RATEH","CCRPISCOREH","ENGLISH_BEGH","ENGLISH_DEVH","ENGLISH_PROFH","ENGLISH_DISTH","MATH_BEGH","MATH_DEVH","MATH_PROFH","MATH_DISTH","SCIENCE_BEGH","SCIENCE_DEVH","SCIENCE_PROFH","SCIENCE_DISTH","SOC_BEGH","SOC_DEVH","SOC_PROFH","SOC_DISTH","COLLEGE_READINESS","ACCELERATED_COURSE_TAKING","FOUR_YEAR_GRADUATION_RATE","ENGLISH_BEGE","ENGLISH_DEVE","ENGLISH_PROFE","ENGLISH_DISTE","MATH_BEGE","MATH_DEVE","MATH_PROFE","MATH_DISTE","SCIENCE_BEGE","SCIENCE_DEVE","SCIENCE_PROFE","SCIENCE_DISTE","SOC_BEGE","SOC_DEVE","SOC_PROFE","SOC_DISTE","ENGLISH_BEGM","ENGLISH_DEVM","ENGLISH_PROFM","ENGLISH_DISTM","MATH_BEGM","MATH_DEVM","MATH_PROFM","MATH_DISTM","SCIENCE_BEGM","SCIENCE_DEVM","SCIENCE_PROFM","SCIENCE_DISTM","SOC_BEGM","SOC_DEVM","SOC_PROFM","SOC_DISTM","COLLEGEENROLLMENT","FINANCIALEFFICIENCY","SCHOOLCLIMATE","MOBILITY","PPE"
"2021","SCHOOL","6560178","Griffin RESA","656","Fayette County","Booth Middle School","0178","N","M","http://www.fcboe.org/","770.631.3240","250 Peachtree Parkway South","Peachtree City","GA","30269","1201","06, 07, 08","","","14","0","12","13","6","55",6.9,8.6,9,"","","","","","","","","","","","","85.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","21.2","54.7","18.2","6.3","27","36.9","29.8","8.8","25.8","48.2","17.3","3.4","20.7","43","32.9","","","","8.5","10096.34"
"2022","SCHOOL","6560178","Griffin RESA","656","Fayette County","Booth Middle School","0178","N","M","http://www.fcboe.org/","770.631.3240","250 S Peachtree Pkwy","Peachtree City","GA","30269-1740","1213","06, 07, 08","","","14.9",".4","11.7","13.4","5.1","54.5",5.8,9.6,10.5,"","","","","","","","95.4","56.4","","88","","82.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","24.9","47.4","19.9","5.3","22.1","35.4","37.2","9.7","19.4","44.2","26.7","4.7","18.6","38.6","38.1","","","","8.9","10673.65"
"2023","SCHOOL","6560178","Griffin RESA","656","Fayette County","J.C. Booth Middle School","0178","N","M","http://www.fcboe.org/","770.631.3240","250 S Peachtree Pkwy","Peachtree City","GA","30269-1740","1210","06, 07, 08","","88.5","13.6",".4","12.3","14.8","6.5","52.3",6.2,9.5,12.2,"","","","","","","","94.3","93.2","61.8","91.7","88.5","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","23.6","45.3","22.8","5.1","22.2","37.4","35.3","15.6","24.4","42.9","17.1","4.9","18.4","39","37.7","","","","6.4","11818.15"
"2024","SCHOOL","6560178","Griffin RESA","656","Fayette County","J.C. Booth Middle School","0178","N","M","http://www.fcboe.org/","770.631.3240","250 Stagecoach Road","Peachtree City","GA","30269-1740","1186","06, 07, 08","","90.6","14.8",".3","10.7","15.7","6.2","52.4",21.4,9.2,14.6,"","","","","","","","95.5","96.7","63","92.5","90.6","87.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","21.4","45.6","26.4","4.4","19.5","34","42.1","20.8","27.1","31.7","20.5","3.8","21.8","36.2","38.2","","4.5","5","7.3","12247.91"
"2025","SCHOOL","6560178","Griffin RESA","656","Fayette County","J.C. Booth Middle School","0178","N","M","http://www.fcboe.org/","770.631.3240","250 Stagecoach Road","Peachtree City","GA","30269-1740","1165","06, 07, 08","","96.0","15.8",".4","10.5","17.5","6.2","49.6",18.1,9.4,14.4,"","","","","","","","95.6","96","98.6","94.7","96.0","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9","22.7","45.6","25.8","4.1","20.2","33.9","41.8","17.5","24.9","41.3","16.3","3","20.7","38.1","38.1","20.72","0.0","","7.1",""
"2018","SCHOOL","6560180","Griffin RESA","656","Fayette County","Huddleston Elementary School","0180","N","E","http://www.fcboe.org/","(770)631-3255","200 McIntosh Trl","Peachtree City","GA","30269","601","PK, KK, 01, 02, 03, 04, 05","","83.1","8","1","5","19","6","62",9.7,8,16,"88.3","83.3","65.9","87.6","83.1","67.9","75.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","32.4","42.2","17","4.6","25.2","46.1","24.2","9.7","26.2","41.7","22.3","6.8","41.7","33","18.4","","","","","","","","","","","","","","","","","","","5","8.1",""
"2019","SCHOOL","6560180","Griffin RESA","656","Fayette County","Huddleston Elementary School","0180","N","E","http://www.fcboe.org/","770.631.3255","200 McIntosh Trail","Peachtree City","GA","30269","613","PK, KK, 01, 02, 03, 04, 05","","94.8","6","0","5","20","6","63",9.6,8,15,"95.1","97.6","95.5","88.9","94.8","68.5","83.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","21.6","46.1","24.8","4.5","23.6","46.6","25.2","5.7","12.4","56.2","25.7","4.8","36.2","36.2","22.9","","","","","","","","","","","","","","","","","","3","5","9.4","10844.7"
"2020","SCHOOL","6560180","Griffin RESA","656","Fayette County","Huddleston Elementary School","0180","N","E","http://www.fcboe.org/","770.631.3255","200 McIntosh Trail","Peachtree City","GA","30269","631","PK, KK, 01, 02, 03, 04, 05","","","6","1","5","19","8","62",8.7,8.9,14,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","10970.08"
"2021","SCHOOL","6560180","Griffin RESA","656","Fayette County","Huddleston Elementary School","0180","N","E","http://www.fcboe.org/","770.631.3255","200 McIntosh Trail","Peachtree City","GA","30269","578","PK, KK, 01, 02, 03, 04, 05","","","5","0","4","20","8","62",14.1,10.3,14,"","","","","","60.4","64.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.5","30.3","31.4","18.8","8.8","30.7","33","27.6","12.8","29.1","39.5","18.6","","","","","","","","","","","","","","","","","","","","","","","","9.9","12427.67"
"2022","SCHOOL","6560180","Griffin RESA","656","Fayette County","Huddleston Elementary School","0180","N","E","http://www.fcboe.org/","770.631.3255","200 McIntosh Trl","Peachtree City","GA","30269-2129","602","PK, KK, 01, 02, 03, 04, 05","","","5.1",".2","5","22.3","7.5","60",8.8,11.5,14.1,"82.8","100.00+","","78.8","","56.4","64.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6","31.9","34.2","16.3","9","30.2","36.2","24.6","13.1","24.2","31.3","31.3","","","","","","","","","","","","","","","","","","","","","","","","7.4","11886.27"
"2023","SCHOOL","6560180","Griffin RESA","656","Fayette County","Huddleston Elementary School","0180","N","E","http://www.fcboe.org/","770.631.3255","200 McIntosh Trl","Peachtree City","GA","30269-2129","603","PK, KK, 01, 02, 03, 04, 05","","82.4","4.8",".2","4.3","22.9","6.6","61.2",11.1,12.1,12.6,"84.2","88.6","55.3","88.8","82.4","71.6","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","33.6","40.3","14.6","6.8","34.1","34.5","24.7","14.4","24","35.6","26","","","","","","","","","","","","","","","","","","","","","","","","5.6","12422.32"
"2024","SCHOOL","6560180","Griffin RESA","656","Fayette County","Huddleston Elementary School","0180","N","E","http://www.fcboe.org/","770.631.3255","200 McIntosh Trl","Peachtree City","GA","30269-2129","603","PK, KK, 01, 02, 03, 04, 05","","86.5","5.1",".2","3.5","23.5","7.3","60.4",32.2,13.3,13.1,"86.9","92.7","63.6","92.1","86.5","60.2","75.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.9","31.3","42","17.8","6.4","30.3","34.2","29.2","23.4","21.3","36.2","19.2","","","","","","","","","","","","","","","","","","","","","","3.5","5","6.1","13608.5"
"2025","SCHOOL","6560180","Griffin RESA","656","Fayette County","Huddleston Elementary School","0180","N","E","http://www.fcboe.org/","770.631.3255","200 McIntosh Trl","Peachtree City","GA","30269-2129","618","PK, KK, 01, 02, 03, 04, 05","","96.1","5.2",".2","4.2","24.3","6.1","60",25.5,12.3,14.9,"95.2","97.8","97.2","93.5","96.1","67.2","77.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4","27.5","35.6","27.5","5.7","25.5","30.9","37.9","11","24","31","34","","","","","","","","","","","","","","","","","","","","","","0.0","","6.4",""
"2018","SCHOOL","6560181","Griffin RESA","656","Fayette County","North Fayette Elementary School","0181","N","E","http://www.fcboe.org/","(770)460-3570","609 Kenwood Rd","Fayetteville","GA","30214","678","PK, KK, 01, 02, 03, 04, 05","","82.8","4","0","64","16","7","9",27.9,8,11,"72.2","85.2","97.7","83.4","82.8","57.9","59.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3","35.2","33.3","14.2","7.5","40.6","38.1","13.8","24.8","36.2","27.6","11.4","13.3","55.2","27.6","3.8","","","","","","","","","","","","","","","","","","","4","16.2",""
"2019","SCHOOL","6560181","Griffin RESA","656","Fayette County","North Fayette Elementary School","0181","N","E","http://www.fcboe.org/","770.460.3570","609 Kenwood Road??","Fayetteville","GA","30214","700","PK, KK, 01, 02, 03, 04, 05","","86.3","4","1","65","15","7","9",29,8,10,"78.6","88.8","100","83.1","86.3","61.4","70.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","34.3","30.8","21.2","8.7","34.3","41.6","15.4","23.3","30.1","34","12.6","15.5","44.7","24.3","15.5","","","","","","","","","","","","","","","","","","3","5","21.5","10896.89"
"2020","SCHOOL","6560181","Griffin RESA","656","Fayette County","North Fayette Elementary School","0181","N","E","http://www.fcboe.org/","770.460.3570","609 Kenwood Road","Fayetteville","GA","30214","699","PK, KK, 01, 02, 03, 04, 05","","","4","0","64","16","7","8",26.3,7.4,11,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7","11225.21"
"2021","SCHOOL","6560181","Griffin RESA","656","Fayette County","North Fayette Elementary School","0181","N","E","http://www.fcboe.org/","770.460.3570","609 Kenwood Road","Fayetteville","GA","30214","635","PK, KK, 01, 02, 03, 04, 05","","","4","0","63","18","8","7",35.5,8.6,11,"","","","","","44.6","59.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3","34.5","32.2","7.1","27.1","42","23.1","7.8","32.4","32.4","30.4","4.9","","","","","","","","","","","","","","","","","","","","","","","","10.9","12208.56"
"2022","SCHOOL","6560181","Griffin RESA","656","Fayette County","North Fayette Elementary School","0181","N","E","http://www.fcboe.org/","770.460.3570","609 Kenwood Rd","Fayetteville","GA","30214-3302","641","PK, KK, 01, 02, 03, 04, 05","","","3.4",".6","63.7","18.1","6.4","7.8",28.2,11.5,11.7,"69.6","91.3","","77.8","","46.1","62.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.2","26.6","39.8","11.4","17","40.1","32.2","10.7","20.2","28.4","41.3","10.1","","","","","","","","","","","","","","","","","","","","","","","","23.4","12689.05"
"2023","SCHOOL","6560181","Griffin RESA","656","Fayette County","North Fayette Elementary School","0181","N","E","http://www.fcboe.org/","770.460.3570","609 Kenwood Rd","Fayetteville","GA","30214-3302","654","PK, KK, 01, 02, 03, 04, 05","","84.3","2.3",".6","62.4","19.8","6.9","7.9",32.8,11.1,10.5,"71.4","97.2","78.6","85.7","84.3","47.8","65.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","30.6","36.3","13.3","15.8","34.2","36.3","13.7","27.1","29.2","35.4","8.3","","","","","","","","","","","","","","","","","","","","","","","","16.1","13078.43"
"2024","SCHOOL","6560181","Griffin RESA","656","Fayette County","North Fayette Elementary School","0181","N","E","http://www.fcboe.org/","770.460.3570","609 Kenwood Rd","Fayetteville","GA","30214-3302","656","PK, KK, 01, 02, 03, 04, 05","","83.0","2.6",".3","63","19.2","6.5","8.4",62.2,12.5,10.5,"76.1","93.4","69.2","85.3","83.0","60.8","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6","27.3","34.9","19.3","12.7","34.6","35.6","17.1","35.2","20.9","24.2","19.8","","","","","","","","","","","","","","","","","","","","","","3.5","4","22.7","14401.66"
"2025","SCHOOL","6560181","Griffin RESA","656","Fayette County","North Fayette Elementary School","0181","N","E","http://www.fcboe.org/","770.460.3570","609 Kenwood Rd","Fayetteville","GA","30214-3302","651","PK, KK, 01, 02, 03, 04, 05","","80.5","2.3","0","62","21.6","7.8","6.3",55,13.8,11.5,"76.6","85.3","67.5","87.5","80.5","63","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7","31.4","31.7","21.3","15","34.2","33.8","17.1","17.8","36.4","37.3","8.5","","","","","","","","","","","","","","","","","","","","","","0.0","","18.4",""
"2018","SCHOOL","6560182","Griffin RESA","656","Fayette County","McIntosh High School","0182","N","H","http://www.fcboe.org/","(770)631-3232","201 Walt Banks Road","Peachtree City","GA","30269","1774","09, 10, 11, 12","Greatest Gains (Platinum)/Highest Performing (Gold)","97.0","11","0","11","11","6","61",3.2,6,4,"","","","","","","","","","","","","","100","100","94.3","91","92.7","97.0","2.6","9.1","50.6","37.6","2.7","19.2","39.6","38.4","6.7","12.4","40.2","40.7","3.7","12.8","52.5","31","80.7","63.4","91.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","6.1",""
"2019","SCHOOL","6560182","Griffin RESA","656","Fayette County","McIntosh High School","0182","N","H","http://www.fcboe.org/","770.631.3232","201 Walt Banks Road","Peachtree City","GA","30269","1810","09, 10, 11, 12","Greatest Gains (Platinum)/Highest Performing (Gold)","95.1","11","1","10","11","6","62",3.1,7,4,"","","","","","","","","","","","","","100","100","75","89.7","94.5","95.1","4.7","13.4","52.4","29.5","3","16","43.3","37.8","6.2","12.1","47.7","34","5.9","22.8","43.2","28.1","79.4","100","93.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8","5","5","6.9","8440.88"
"2020","SCHOOL","6560182","Griffin RESA","656","Fayette County","McIntosh High School","0182","N","H","http://www.fcboe.org/","770.631.3232","201 Walt Banks Road","Peachtree City","GA","30269","1783","09, 10, 11, 12","","","11","0","10","12","5","62",3.6,7.2,4,"","","","","","","","","","","","","","","","","","93.8","","","","","","","","","","","","","","","","","","","","93.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.32","","","5.9","9234.61"
"2021","SCHOOL","6560182","Griffin RESA","656","Fayette County","McIntosh High School","0182","N","H","http://www.fcboe.org/","770.631.3232","201 Walt Banks Road","Peachtree City","GA","30269","1814","09, 10, 11, 12","","","11","0","11","13","5","60",5.1,7.6,4,"","","","","","","","","","","","","","","","","","","","7.8","16.2","41.7","34.2","18.6","34.6","42.2","4.6","16","18.4","45.4","20.3","7.4","21.7","46.4","24.5","76.3","71.2","90.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.02","","","5.9","9571.79"
"2022","SCHOOL","6560182","Griffin RESA","656","Fayette County","McIntosh High School","0182","N","H","http://www.fcboe.org/","770.631.3232","201 Walt Banks Rd","Peachtree City","GA","30269-1383","1798","09, 10, 11, 12","","","11",".5","10.1","13.8","5.4","59.2",3.4,7.7,4.9,"","","","","","","","","","","","","","97.6","77.6","","89.1","93.8","","4.2","23.3","60.3","12.3","5.4","19.4","44.1","31.1","5.9","16.2","44.6","33.3","5.3","13.4","45.6","35.7","","67.3","92.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","13.4","45.6","35.7","81.22","","","7.8","10405.1"
"2023","SCHOOL","6560182","Griffin RESA","656","Fayette County","McIntosh High School","0182","N","H","http://www.fcboe.org/","770.631.3232","201 Walt Banks Rd","Peachtree City","GA","30269-1383","1736","09, 10, 11, 12","","89.3","12.2",".3","10.8","14.9","4.9","57",4,8.1,5.8,"","","","","","","","","","","","","","97.5","85","75","84.9","95.3","89.3","5.5","17.2","59.3","17.9","7.4","22.4","38.1","32.2","8.5","16.3","46.3","28.8","3.6","12.8","44.4","39.1","71.9","100","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.11","","","5.4","11501.18"
"2024","SCHOOL","6560182","Griffin RESA","656","Fayette County","McIntosh High School","0182","N","H","http://www.fcboe.org/","770.631.3232","201 Walt Banks Rd","Peachtree City","GA","30269-1383","1786","09, 10, 11, 12","","94.9","14.1",".3","11.8","15.3","5.4","53.1",17,8.2,6.3,"","","","","","","","","","","","","","100","99.9","75","86.2","96.4","94.9","3.4","18.3","53.2","25.1","3.4","12.7","37.7","46.3","7.6","14.7","45.3","32.5","3.7","11","40.8","44.5","73.6","100","96.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.03","5","5","5.5","11946.16"
"2025","SCHOOL","6560182","Griffin RESA","656","Fayette County","McIntosh High School","0182","N","H","http://www.fcboe.org/","770.631.3232","201 Walt Banks Rd","Peachtree City","GA","30269-1383","1800","09, 10, 11, 12","","95.7","15.9",".4","10.4","16.1","5.8","51.4",14.9,6.9,7.6,"","","","","","","","","","","","","","99.7","99","81.9","88.5","97.7","95.7","4.6","21.8","44.7","28.9","1.7","10.7","32.7","55","4.9","15.3","40.4","39.5","3.2","11.7","41.9","43.1","78.5","100","98.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","4.7",""
"2018","SCHOOL","6560186","Griffin RESA","656","Fayette County","Oak Grove Elementary School","0186","N","E","http://www.fcboe.org/","(770)631-3260","101 Crosstown Drive","Peachtree City","GA","30269","539","PK, KK, 01, 02, 03, 04, 05","Greatest Gains (Gold)","83.4","13","0","14","15","6","51",9.5,9,15,"87","94.6","43.2","88.3","83.4","62.9","69.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9","24.3","46.1","18.7","4.8","26.1","44.8","24.3","16.7","28.6","41.7","13.1","10.7","40.5","31","17.9","","","","","","","","","","","","","","","","","","","5","15.7",""
"2019","SCHOOL","6560186","Griffin RESA","656","Fayette County","Oak Grove Elementary School","0186","N","E","http://www.fcboe.org/","770.631.3260","101 Crosstown Drive??","Peachtree City","GA","30269","518","PK, KK, 01, 02, 03, 04, 05","Greatest Gains (Gold)","96.0","15","0","13","16","8","49",7.8,8,14,"96.9","96.5","100","90.8","96.0","72.9","83.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","23.2","36.9","30.3","4.6","24.5","44","27","8","20.7","42.5","28.7","5.7","35.6","29.9","28.7","","","","","","","","","","","","","","","","","","2.5","5","18.1","12142.94"
"2020","SCHOOL","6560186","Griffin RESA","656","Fayette County","Oak Grove Elementary School","0186","N","E","http://www.fcboe.org/","770.631.3260","101 Crosstown Drive","Peachtree City","GA","30269","511","PK, KK, 01, 02, 03, 04, 05","","","14","0","14","14","7","51",5.2,9.2,13,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4","13556.92"
"2021","SCHOOL","6560186","Griffin RESA","656","Fayette County","Oak Grove Elementary School","0186","N","E","http://www.fcboe.org/","770.631.3260","101 Crosstown Drive","Peachtree City","GA","30269","526","PK, KK, 01, 02, 03, 04, 05","","","13","0","15","16","7","49",11.2,10.4,12,"","","","","","70.6","63.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","29.7","39.6","16.7","18.5","27.9","36.5","17.1","24.7","29.6","33.3","12.4","","","","","","","","","","","","","","","","","","","","","","","","10.8","13922.69"
"2022","SCHOOL","6560186","Griffin RESA","656","Fayette County","Oak Grove Elementary School","0186","N","E","http://www.fcboe.org/","770.631.3260","101 Crosstown Dr","Peachtree City","GA","30269-3428","487","PK, KK, 01, 02, 03, 04, 05","","","12.5",".4","14.2","16.4","7.4","49.1",8.1,10.1,12.1,"86.4","100.00+","","84.1","","57.1","77.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","28.6","40.6","18.4","10.2","27.2","39.2","23.4","6","28.6","38.1","27.4","","","","","","","","","","","","","","","","","","","","","","","","10.5","15158.23"
"2023","SCHOOL","6560186","Griffin RESA","656","Fayette County","Oak Grove Elementary School","0186","N","E","http://www.fcboe.org/","770.631.3260","101 Crosstown Dr","Peachtree City","GA","30269-3428","476","PK, KK, 01, 02, 03, 04, 05","","83.2","11.9",".2","17.2","15.7","5.7","49.3",8.2,11.5,12.2,"85.2","94.4","44.4","89.4","83.2","64.3","76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","32.9","40.6","16.4","6.4","32","39.3","22.4","8","29.3","49.3","13.3","","","","","","","","","","","","","","","","","","","","","","","","18.5","16316"
"2024","SCHOOL","6560186","Griffin RESA","656","Fayette County","Oak Grove Elementary School","0186","N","E","http://www.fcboe.org/","770.631.3260","200 Log House Rd.","Peachtree City","GA","30269-3428","457","PK, KK, 01, 02, 03, 04, 05","","92.9","12.7","0","15.3","16.4","6.8","48.9",30.2,17.2,14.4,"89.6","98.9","86.4","92.2","92.9","75","77.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2","30.1","41.6","22","3.4","31.1","41.2","24.4","26.6","17.7","29.1","26.6","","","","","","","","","","","","","","","","","","","","","","3","5","13.3","17711.68"
"2025","SCHOOL","6560186","Griffin RESA","656","Fayette County","Oak Grove Elementary School","0186","N","E","http://www.fcboe.org/","770.631.3260","200 Log House Rd.","Peachtree City","GA","30269-3428","452","PK, KK, 01, 02, 03, 04, 05","","97.0","14.6","0","13.1","19.7","6.9","45.8",26.3,19.7,15.7,"96.2","99.7","97.4","93.1","97.0","60.5","81.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7","24.5","42.8","25","2.9","22","37.8","37.3","8.3","19.4","45.8","26.4","","","","","","","","","","","","","","","","","","","","","","0.0","","16.8",""
"2018","SCHOOL","6560191","Griffin RESA","656","Fayette County","Braelinn Elementary School","0191","N","E","http://www.fcboe.org/","(770)631-5410","975 Robinson Road","Peachtree City","GA","30269","540","PK, KK, 01, 02, 03, 04, 05","Highest Performing (Silver)","93.7","7","0","3","5","5","80",1.2,7,5,"98.1","90.2","92.9","93.9","93.7","86.6","84.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","14.6","46.4","33.2","3.9","15.4","47.1","33.6","6.7","20.2","52.9","20.2","1.9","34.6","41.3","22.1","","","","","","","","","","","","","","","","","","","4","3.8",""
"2019","SCHOOL","6560191","Griffin RESA","656","Fayette County","Braelinn Elementary School","0191","N","E","http://www.fcboe.org/","770-631-5410","975 Robinson Road","Peachtree City","GA","30269","517","PK, KK, 01, 02, 03, 04, 05","Highest Performing (Silver)","92.2","5","0","3","6","4","81",1.8,9,4,"99.7","82.5","100","92.2","92.2","79.1","86.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","15.6","37.4","44.1","3.3","21.9","46.3","28.5","9.1","21.2","35.4","34.3","4","27.3","34.3","34.3","","","","","","","","","","","","","","","","","","3","5","3.3","11739.21"
"2020","SCHOOL","6560191","Griffin RESA","656","Fayette County","Braelinn Elementary School","0191","N","E","http://www.fcboe.org/","770-631-5410","975 Robinson Road","Peachtree City","GA","30269","537","PK, KK, 01, 02, 03, 04, 05","","","6","0","4","6","4","79",1.2,10.3,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","12696.86"
"2021","SCHOOL","6560191","Griffin RESA","656","Fayette County","Braelinn Elementary School","0191","N","E","http://www.fcboe.org/","770-631-5410","975 Robinson Road","Peachtree City","GA","30269","531","PK, KK, 01, 02, 03, 04, 05","","","6","0","5","7","5","77",1.6,9.5,3,"","","","","","77.7","89.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","18.2","43.6","33.9","4.6","26.8","41.8","26.8","4","27","48","21","","","","","","","","","","","","","","","","","","","","","","","","7.7","13277.1"
"2022","SCHOOL","6560191","Griffin RESA","656","Fayette County","Braelinn Elementary School","0191","N","E","http://www.fcboe.org/","770.631.5410","975 Robinson Rd","Peachtree City","GA","30269-2306","570","KK, 01, 02, 03, 04, 05","","","5.1",".2","4.9","7.9","5.4","76.5",0.9,11.8,3.2,"100","TFS","","91.8","","72.4","90.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","14.5","44.7","37.2","3.6","18.4","43.3","34.8","2.9","20.6","39.2","37.3","","","","","","","","","","","","","","","","","","","","","","","","4.2","12418.59"
"2023","SCHOOL","6560191","Griffin RESA","656","Fayette County","Braelinn Elementary School","0191","N","E","http://www.fcboe.org/","770.631.5410","975 Robinson Rd","Peachtree City","GA","30269-2306","567","PK, KK, 01, 02, 03, 04, 05","","93.9","4.9",".4","5.3","7.8","5.1","76.5",0.9,10.9,2.5,"98.8","93.4","85","93.8","93.9","66","89.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","23","46.7","25.8","1.4","22.4","43.1","33.1","4.4","15","49.6","31","","","","","","","","","","","","","","","","","","","","","","","","4.1","13485.34"
"2024","SCHOOL","6560191","Griffin RESA","656","Fayette County","Braelinn Elementary School","0191","N","E","http://www.fcboe.org/","770.631.5410","975 Robinson Rd","Peachtree City","GA","30269-2306","524","KK, 01, 02, 03, 04, 05","","98.9","5",".2","6.5","6.3","4.8","77.3",9.1,12.8,1.9,"99.7","99.1","100","96.4","98.9","78","87.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","20.3","45.2","32.6","0","19.2","43.7","37.2","4.8","14.5","51.8","28.9","","","","","","","","","","","","","","","","","","","","","","3.5","5","3.5","15240.64"
"2025","SCHOOL","6560191","Griffin RESA","656","Fayette County","Braelinn Elementary School","0191","N","E","http://www.fcboe.org/","770.631.5410","975 Robinson Rd","Peachtree City","GA","30269-2306","549","PK, KK, 01, 02, 03, 04, 05","","95.6","4.6",".2","5.3","7.1","5.1","77.8",6.9,11.5,1.5,"100","95.7","85.7","96","95.6","78.1","82.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","20.1","50.5","26.9",".7","15.4","45.9","38","4.1","10.3","43.3","42.3","","","","","","","","","","","","","","","","","","","","","","0.0","","4.5",""
